year,month,CAPE,stock real return,bond real return
1976,11,11.24885586,0.03435322521494610000,0.03265658029899670000
1976,12,11.59758973,-0.01043619139748090000,-0.02334771971820180000
1977,1,11.43796135,-0.03356077616560540000,-0.01670300522069820000
1977,2,11.01484185,-0.00722260587403256000,-0.00546804886855012000
1977,3,10.89574651,-0.02012402163408430000,0.00409751996572094000
1977,4,10.63603741,-0.00428588171376043000,-0.00512653115642114000
1977,5,10.54848669,0.00239610377911825000,0.01218951817758060000
1977,6,10.53002396,0.00788226007109483000,-0.00238042028828656000
1977,7,10.56769245,-0.02394756877856500000,-0.00207162052187837000
1977,8,10.26838567,-0.01493272907520170000,0.00709347888678646000
1977,9,10.06774282,-0.02510507133545050000,-0.00966391017790036000
1977,10,9.7666663,0.00496746761945044000,-0.00276397399603689000
1977,11,9.766299984,-0.00396950040434152000,-0.00451547680019870000
1977,12,9.678266583,-0.04004835084203780000,-0.01838984603294470000
1978,1,9.241462261,-0.01597764152452930000,-0.00451322354518469000
1978,2,9.045263571,-0.00521047156948051000,-0.00192407538205142000
1978,3,8.950420078,0.04013140815000170000,-0.00858422592387065000
1978,4,9.262588721,0.04526149847110130000,-0.01590592948203520000
1978,5,9.634910729,-0.00404191725191672000,-0.01114012472742950000
1978,6,9.549678981,-0.00819746653113607000,-0.01248497756570170000
1978,7,9.425524048,0.06843417170210200000,0.01798770677003270000
1978,8,10.02397085,-0.00352276263324347000,-0.00122895877348128000
1978,9,9.941887473,-0.03641562573063340000,-0.01647745491645090000
1978,10,9.533608358,-0.05857178340687830000,-0.00844899614205352000
1978,11,8.928418902,0.01472636597109720000,-0.01014761187470600000
1978,12,9.011941819,0.03273788184942840000,-0.00715599237519471000
1979,1,9.257636919,-0.02198879692497520000,-0.00408188615533034000
1979,2,9.003740371,0.01318456061009550000,-0.00381056690114068000
1979,3,9.07078503,0.01274053573904870000,-0.00767027061237446000
1979,4,9.133063566,-0.03124176560299000000,-0.00950956238628220000
1979,5,8.79438329,0.01288243125040660000,0.01864731683830610000
1979,6,8.853937765,0.00315497510179208000,-0.00619481520292797000
1979,7,8.827498046,0.04022818435880700000,-0.00727683323115880000
1979,8,9.127165797,0.00455895127832617000,-0.02243323737548360000
1979,9,9.112758991,-0.04120087805549030000,-0.05990187328945530000
1979,10,8.681843307,-0.01238040467079770000,-0.02190170023151620000
1979,11,8.518784303,0.03318748043385590000,0.01423839438867570000
1979,12,8.745204405,0.01855555847017510000,-0.03014284847476070000
1980,1,8.850934181,0.02944101397217440000,-0.09538860969452690000
1980,2,9.054476092,-0.10140890668970800000,-0.02359379908573270000
1980,3,8.081150901,-0.02256576435317840000,0.07417549829684140000
1980,4,7.844024505,0.04012628213497280000,0.07924534419614910000
1980,5,8.104225807,0.05703300515673960000,0.02256459970291140000
1980,6,8.512077962,0.04972609802210610000,-0.02103861678807110000
1980,7,8.880865527,0.02762144598239960000,-0.04933191683297340000
1980,8,9.071005982,0.01981742015294640000,-0.02314174063896060000
1980,9,9.196040132,0.02351965098068450000,-0.01381999176439520000
1980,10,9.357841047,0.03760105161350190000,-0.05039510380206710000
1980,11,9.654043663,-0.02158414674863020000,-0.00766777002578856000
1980,12,9.389902085,-0.00792213755793758000,0.01770919840364500000
1981,1,9.259404531,-0.04060150375939860000,-0.03372696006150400000
1981,2,8.829899354,0.03439824348346440000,0.00798379782789138000
1981,3,9.081096884,0.00613959424491850000,-0.02598226750334700000
1981,4,9.085561231,-0.02381917859379990000,-0.01867830269604120000
1981,5,8.818483467,-0.00030686338105345700,0.03689285774864650000
1981,6,8.765340744,-0.03083243047097560000,-0.04218975597929430000
1981,7,8.445319468,0.00040857750926681600,-0.02955976482573190000
1981,8,8.399806317,-0.09185413134283550000,-0.01646287607082570000
1981,9,7.581163052,0.01511993338292970000,0.01927906119385250000
1981,10,7.649141713,0.02716356549128180000,0.10542027572150200000
1981,11,7.810752566,0.00858934352440155000,-0.00984668569176250000
1981,12,7.832562137,-0.05104956682776070000,-0.03711498085935870000
1982,1,7.388659973,-0.02222826762840440000,0.01733625861807410000
1982,2,7.181823451,-0.02639439939003290000,0.04376773041621250000
1982,3,6.950673794,0.05027011617777390000,0.00675129326765900000
1982,4,7.259072625,-0.00373031914798128000,0.01549144016418990000
1982,5,7.192612484,-0.06440407234208370000,-0.03665629449397730000
1982,6,6.692133988,-0.00269216737177536000,0.02537967540757920000
1982,7,6.6386531,0.00588657436861340000,0.05880591861381030000
1982,8,6.643422752,0.11868382957948000000,0.04981169512206420000
1982,9,7.3988382,0.08549220939464820000,0.09336084510978290000
1982,10,7.999840995,0.04713600704109820000,0.03327803002181160000
1982,11,8.347476938,0.01771294559656260000,0.01354221321644380000
1982,12,8.467738401,0.03714021363346090000,0.01163564182760670000
1983,1,8.756783224,0.02026463286182370000,-0.00813448944628103000
1983,2,8.910493437,0.03866371480472310000,0.02183570238395440000
1983,3,9.232829705,0.03458195291464760000,0.00833769005641072000
1983,4,9.531581284,0.03792940224395020000,0.00379379476023578000
1983,5,9.874456505,0.01447215766012700000,-0.02278151674999770000
1983,6,10.0001179,0.00305894837144827000,-0.02629837591325820000
1983,7,10.014476,-0.02698384667790180000,-0.02080186464315140000
1983,8,9.728056936,0.02801877008722190000,0.01653251630639300000
1983,9,9.984202458,0.00350463171317172000,0.01317017194304680000
1983,10,10.0033918,-0.01335308046632620000,-0.00114462160367501000
1983,11,9.853581649,-0.00225205898779934000,0.00060116639218277300
1983,12,9.815010904,0.00979352560873004000,0.01323341680182330000
1984,1,9.894931809,-0.05574003855387390000,-0.00505157986275140000
1984,2,9.324529646,0.00248152815935931000,-0.01945519750629370000
1984,3,9.326747067,0.00022057460774416200,-0.01203186221133490000
1984,4,9.305643405,-0.00539691071975001000,-0.03494859378807110000
1984,5,9.231831817,-0.02129953943346910000,0.00011612523757320600
1984,6,9.010185512,-0.01287937894360800000,0.01833320525195510000
1984,7,8.868302214,0.08789825884502480000,0.04309289595229980000
1984,8,9.623063257,0.00925254895145411000,0.01706281388298710000
1984,9,9.687341314,-0.00693626135127245000,0.02818219692199890000
1984,10,9.595070703,0.01288430420711980000,0.04484879348230870000
1984,11,9.691973222,-0.00705051112447386000,0.01377211494989260000
1984,12,9.595054801,0.04501280460680770000,0.01477118738666760000
1985,1,9.997001178,0.05290458414423640000,-0.00290994415359902000
1985,2,10.49493517,-0.00850471258300556000,-0.01448214145339020000
1985,3,10.37321721,0.00553425359589999000,0.03048553671082140000
1985,4,10.39711872,0.02353875374257310000,0.04077149174770130000
1985,5,10.60812047,0.02226354143001050000,0.04911999285227610000
1985,6,10.81004985,0.02058990380790650000,-0.00267949502433840000
1985,7,10.99756396,-0.02025637716049390000,0.00548823397863263000
1985,8,10.73879981,-0.02155310012460240000,0.00334941689187707000
1985,9,10.47123466,0.01122977242778830000,0.01297708478527240000
1985,10,10.55251698,0.06128507704385510000,0.03480914801606310000
1985,11,11.16461113,0.05006350346084210000,0.03894936521209380000
1985,12,11.69052147,0.00477551868948800000,0.00949029856433237000
1986,1,11.71500758,0.05988963036984110000,0.04299317447225710000
1986,2,12.3882191,0.06672269765358290000,0.07561688846152580000
1986,3,13.18902298,0.02931595545334020000,0.04220206157207640000
1986,4,13.55250417,0.00215924086163377000,-0.02497128402873980000
1986,5,13.5600462,0.02569053157577340000,-0.00525700431344223000
1986,6,13.88868863,-0.01802441568147840000,0.04171137044329050000
1986,7,13.61999553,0.02095880915668120000,0.01343962444202070000
1986,8,13.88766755,-0.02897344654740320000,-0.01808979715501110000
1986,9,13.46731431,-0.00179870640442326000,0.00669528059432567000
1986,10,13.42591886,0.03439754095227990000,0.01797266471349570000
1986,11,13.8729856,0.01617461521846280000,0.01506398620420480000
1986,12,14.08513981,0.06002532045160300000,0.00171250074546991000
1987,1,14.9222081,0.06080921826759990000,-0.00966051015603697000
1987,2,15.82231814,0.03911449403265730000,0.00155441570026760000
1987,3,16.43334398,-0.01382537407382110000,-0.05158715136040570000
1987,4,16.19653445,-0.00179727400784158000,-0.03599725757137790000
1987,5,16.16031195,0.04131890402692840000,0.01767563001568550000
1987,6,16.82520731,0.02851532976212550000,0.00100426265149189000
1987,7,17.30600439,0.05896933426336640000,-0.01862853783073390000
1987,8,18.32690725,-0.03535179465519220000,-0.04016777740883440000
1987,9,17.67562045,-0.12081929670015900000,-0.00115804403503450000
1987,10,15.53005556,-0.12377922058643400000,0.05047350394438110000
1987,11,13.59088514,-0.01332993197278920000,-0.00112810108873862000
1987,12,13.38902851,0.03977849579383900000,0.02606282354566660000
1988,1,13.89833668,0.03062884369479430000,0.03567827221157760000
1988,2,14.29827096,0.02790503287200010000,-0.00818995367123776000
1988,3,14.66894681,-0.01390954907686800000,-0.02124595728120200000
1988,4,14.43331642,-0.02518291159058620000,-0.02020257095133640000
1988,5,14.03189135,0.05552078714396940000,0.01442178425801790000
1988,6,14.76646865,-0.00725215955716174000,-0.00591786861132571000
1988,7,14.60831572,-0.02129068935824060000,-0.00957472455404351000
1988,8,14.24494631,0.01248926654608470000,0.01920497100066610000
1988,9,14.36942878,0.03458976436453340000,0.01597175275903530000
1988,10,14.81145015,-0.02098992285368430000,-0.00398425939858260000
1988,11,14.44553068,0.02159494572124140000,-0.00396031692083509000
1988,12,14.70208675,0.03001695395433360000,0.00389692133178077000
1989,1,15.08807244,0.02877522702295710000,-0.00174463216082554000
1989,2,15.46706046,-0.00729902863298504000,-0.01030227231015730000
1989,3,15.29896911,0.02893923501012230000,0.01286514533926830000
1989,4,15.68674266,0.03529526909650320000,0.02290061566503180000
1989,5,16.18635354,0.03147360154201890000,0.04399716474862060000
1989,6,16.64190424,0.02553633515428680000,0.02217401381937910000
1989,7,17.01340765,0.04525803144532750000,-0.00104138617063243000
1989,8,17.73425144,0.00138472398538170000,-0.00186604242071098000
1989,9,17.71422068,-0.00191225795994943000,0.01424694269346590000
1989,10,17.64085385,-0.02044483998458080000,0.01387059429297670000
1989,11,17.24236927,0.02577104743007790000,0.00702213997536050000
1989,12,17.6502129,-0.03207177592781250000,-0.02852818212939070000
1990,1,17.04884361,-0.02981891861169130000,-0.01520092860160580000
1990,2,16.50809352,0.02150799442371550000,-0.00636732944998852000
1990,3,16.83374823,0.00043391462044550800,-0.00759021455625930000
1990,4,16.8139139,0.03612651682691560000,0.00696488967298170000
1990,5,17.39241359,0.02616523957281870000,0.02050633499349970000
1990,6,17.81708282,-0.00212826426151858000,0.00387205601610163000
1990,7,17.74717159,-0.08700099895986920000,-0.02047611223483110000
1990,8,16.16833476,-0.05132846629957910000,-0.01018702505582960000
1990,9,15.30128544,-0.02898602997402580000,0.01256289694428390000
1990,10,14.81814797,0.02755253791577750000,0.02712491887003000000
1990,11,15.1876076,0.04588632687367200000,0.02809441937241110000
1990,12,15.84631497,-0.01275031599048560000,0.00007338122547029260
1991,1,15.60619012,0.11441354952203400000,0.02172453681872840000
1991,2,17.35466475,0.02891885849669400000,-0.01259949642456320000
1991,3,17.81862008,0.02108005053459160000,0.01003536283346970000
1991,4,18.1553459,-0.00473117454184879000,0.00169332631711105000
1991,5,18.03543091,0.00052092492331734500,-0.01036699451710790000
1991,6,18.01522704,0.00633449357671267000,0.00609562958031495000
1991,7,18.10345235,0.02379211382383970000,0.02925291577312540000
1991,8,18.51225846,-0.00738170607592925000,0.01944413842040780000
1991,9,18.35728259,0.00035247391290815800,0.01326410481992960000
1991,10,18.34918799,-0.00275097743355046000,0.01103757844366870000
1991,11,18.28886817,0.00861369267593215000,0.02889145447347660000
1991,12,18.44165231,0.07203404022397100000,0.00872114141983071000
1992,1,19.77306821,-0.00958630559909179000,-0.01948451797740060000
1992,2,19.58298297,-0.01508999330567900000,-0.01280668662046320000
1992,3,19.28356186,0.00120555377235698000,0.00902684587014457000
1992,4,19.30122951,0.01922225419768100000,0.01109685269666930000
1992,5,19.6622798,-0.01681015856299030000,0.01170835344365370000
1992,6,19.31536597,0.01695001900360120000,0.03401985426607610000
1992,7,19.62074069,0.00655625637266755000,0.02095919698379260000
1992,8,19.7221375,0.00094693215718444400,0.01505656160009590000
1992,9,19.70876642,-0.01530760877602850000,-0.01050417348144060000
1992,10,19.37027108,0.02612106407739370000,-0.01599119270101560000
1992,11,19.83365604,0.03344109487782520000,0.01364741792982090000
1992,12,20.44860672,-0.00348248298709752000,0.01299181480174580000
1993,1,20.3234108,0.01369453973370800000,0.02697052276570270000
1993,2,20.54533679,0.01795102866047450000,0.02255147183238160000
1993,3,20.85520015,-0.01615550340331660000,0.00293667555106358000
1993,4,20.45736202,0.00585274532064473000,-0.00162448838215246000
1993,5,20.51760563,0.00725728591996266000,0.00961202648993531000
1993,6,20.60835701,0.00061003734618880800,0.01625318788874350000
1993,7,20.56459641,0.01481354028621800000,0.01187786706096560000
1993,8,20.81222755,0.01145416356909060000,0.02717838745991210000
1993,9,20.99350101,0.00825349027909605000,0.00262760139294138000
1993,10,21.10917825,-0.00060688524451213400,-0.02569133969300550000
1993,11,21.03790119,0.00887539876284493000,0.00099770360451390000
1993,12,21.16473208,0.01458305245200940000,0.00356401696728437000
1994,1,21.41197491,-0.00415512619758440000,-0.01501179528605840000
1994,2,21.26384019,-0.01757893172374260000,-0.03555211939674760000
1994,3,20.83337589,-0.03476745217777230000,-0.03092801952959970000
1994,4,20.05525009,0.00990535915303381000,-0.00973032680625130000
1994,5,20.19649242,0.00767309225393076000,0.00824904571896923000
1994,6,20.29076369,-0.00786470203345435000,-0.01084128344727860000
1994,7,20.06795182,0.02667533965916640000,0.00625142622237096000
1994,8,20.5355494,0.00547896874033760000,-0.01200392407387750000
1994,9,20.5764501,-0.00508935351004414000,-0.01378680915372570000
1994,10,20.39575928,-0.00501493771604666000,-0.00992854698142909000
1994,11,20.20947302,-0.01024381249864430000,0.01696439258311360000
1994,12,19.91148411,0.02042369854343580000,0.00455098152400257000
1995,1,20.21911942,0.03406294099989000000,0.02406453256798420000
1995,2,20.80257176,0.02219298376178250000,0.02193658461509540000
1995,3,21.1527373,0.02877039271684570000,0.01261947084317240000
1995,4,21.64273926,0.03145090456322210000,0.03502898481961210000
1995,5,22.1954267,0.02976294224233240000,0.03753684985472820000
1995,6,22.71835676,0.03548716047093730000,-0.00296242483343379000
1995,7,23.37641269,0.00251216707397806000,-0.01268363518267820000
1995,8,23.28407026,0.03515603189073070000,0.02483940066019550000
1995,9,23.94600708,0.00585294354013866000,0.01377310650773200000
1995,10,23.92676276,0.02426026304591060000,0.01392521139734800000
1995,11,24.34758688,0.03457472611783000000,0.02223557442912320000
1995,12,25.02738066,-0.00419876892630855000,0.00342239703396441000
1996,1,24.76246519,0.05563943831320790000,-0.01053484916161780000
1996,2,25.97606555,-0.00712156079667392000,-0.03405206889267240000
1996,3,25.6299304,-0.00186864096112915000,-0.01606796692119110000
1996,4,25.42420385,0.02159471001961970000,-0.01307107029352430000
1996,5,25.81404383,0.01214675139708170000,-0.00719629733668536000
1996,6,25.96667356,-0.03659386686611840000,0.00670172764615695000
1996,7,24.85841133,0.02880847041560770000,0.02045061880638820000
1996,8,25.41252912,0.01702087386245310000,-0.01126948726480860000
1996,9,25.68011551,0.03791614847716710000,0.02430329688884860000
1996,10,26.48346772,0.04854319071276620000,0.02789303974104550000
1996,11,27.58561205,0.01199133669534810000,-0.00219411196205210000
1996,12,27.72394616,0.02933630651278810000,-0.01819998966541840000
1997,1,28.33287013,0.04034796630152850000,0.01401100650103680000
1997,2,29.26563488,-0.00871571224589485000,-0.01664680284448940000
1997,3,28.80245859,-0.03525489245290480000,-0.01000337681459560000
1997,4,27.58516034,0.09286413901493140000,0.01938795797772010000
1997,5,29.92836222,0.05205733424128620000,0.02037415266655680000
1997,6,31.25656062,0.05604704932447510000,0.02407590618775140000
1997,7,32.76663769,0.00161081936111040000,-0.00256964537268356000
1997,8,32.58628349,0.00941419520542985000,0.00939047630038581000
1997,9,32.66658134,0.01394281310975120000,0.01606425091417530000
1997,10,32.90149818,-0.01090340936585350000,0.01690527479359870000
1997,11,32.33660053,0.02762379695949280000,0.01141957521866410000
1997,12,33.03078904,0.00051436750996081100,0.02350309577344790000
1998,1,32.85996842,0.06205427390790660000,0.00047744254416204300
1998,2,34.70967778,0.05118414045785280000,-0.00326836880917292000
1998,3,36.29692774,0.03215622207347920000,0.00361031699425052000
1998,4,37.27693404,-0.00404976050374817000,0.00209209681217359000
1998,5,36.95659852,-0.00005634321172498510,0.01490725687408960000
1998,6,36.80229346,0.04340143077492380000,0.00640621578181966000
1998,7,38.25964509,-0.07084394494188140000,0.01253247516019540000
1998,8,35.42340102,-0.05014272060416510000,0.04490554612477180000
1998,9,33.53235698,0.01044023316073320000,0.02383938851442750000
1998,10,33.77310288,0.10974518226518300000,-0.01982663112121020000
1998,11,37.36939188,0.04167743474952320000,0.01892490121647830000
1998,12,38.82027478,0.04792523150734750000,-0.00409046853696515000
1999,1,40.57695768,-0.00187654101123613000,-0.01911799090173350000
1999,2,40.40015923,0.02612175801882840000,-0.01658915762047510000
1999,3,41.35610363,0.03497314365904040000,0.00094984092093319800
1999,4,42.70450952,-0.00098831750027483800,-0.02310337419843640000
1999,5,42.55667671,-0.00611767149374054000,-0.02236145084960540000
1999,6,42.18067591,0.04209280710112550000,0.01016191746042330000
1999,7,43.82803599,-0.04004347011251190000,-0.00877414833187240000
1999,8,41.93071216,-0.01071245657261490000,0.00165197548004747000
1999,9,41.32345133,-0.01448455529694950000,-0.01093874030716090000
1999,10,40.5528544,0.07042416486898870000,0.01045114600338200000
1999,11,43.20829071,0.02808830577522170000,-0.01339338977295580000
1999,12,44.19793976,-0.00414653172377866000,-0.02518915281576660000
2000,1,43.77257815,-0.03052275766321850000,0.00977250046697198000
2000,2,42.18563589,0.03091108020377510000,0.01622679733268820000
2000,3,43.22074844,0.01365341095565880000,0.02476999264058110000
2000,4,43.52857429,-0.02952215444984270000,-0.02905931250576820000
2000,5,41.9660505,0.02624806822945640000,0.02523796393968620000
2000,6,42.78197157,0.00616229122325440000,0.00646993459438705000
2000,7,42.75809362,0.00939051067360630000,0.02158032309752780000
2000,8,42.86956549,-0.01592842370001900000,0.00189843399399203000
2000,9,41.89800792,-0.05377804613751820000,0.00762193334193184000
2000,10,39.36969904,-0.00829718345027841000,0.00571632506596642000
2000,11,38.78214246,-0.03264671936464590000,0.04242693739405110000
2000,12,37.274238,-0.00176685408630073000,0.00421764345560716000
2001,1,36.978868,-0.02526552840661440000,0.00494487216490991000
2001,2,35.83466265,-0.09286941783515370000,0.01840855149928470000
2001,3,32.32583724,0.00050561051567288300,-0.01921248490281390000
2001,4,32.17390117,0.06397514733205270000,-0.01932326864600880000
2001,5,34.07464322,-0.02553777020461060000,0.01126222938177460000
2001,6,33.06853441,-0.02385918188982730000,0.01032645556976290000
2001,7,32.16303869,-0.02045723958837850000,0.02547230682633340000
2001,8,31.40431876,-0.11645424705572300000,0.01851936864904390000
2001,9,27.66739259,0.03532430031156330000,0.02011341928467210000
2001,10,28.57737311,0.05230800899714680000,-0.00085091151283311900
2001,11,30.00510381,0.01868008831317660000,-0.02648986537514080000
2001,12,30.49995326,-0.00522902170838513000,0.00586063567366435000
2002,1,30.27720443,-0.03733294498412580000,0.01039626977636310000
2002,2,29.08570415,0.04358303382929640000,-0.02988085712285960000
2002,3,30.29213064,-0.04050317150040990000,0.00419588718154307000
2002,4,29.00588325,-0.02819596957042670000,0.00821634112455749000
2002,5,28.12810751,-0.05972456235928210000,0.02174356455200850000
2002,6,26.38767254,-0.10858258060416100000,0.02517977569600170000
2002,7,23.46312047,0.00802232152168747000,0.03193653081736850000
2002,8,23.58871353,-0.04916319628491310000,0.03390967951199640000
2002,9,22.3650368,-0.01529389421324300000,-0.00416404691814232000
2002,10,21.95623386,0.06626454333064210000,-0.00568820250976088000
2002,11,23.3483965,-0.00815407297067372000,0.00722994684805367000
2002,12,23.10144254,-0.00661362680065714000,-0.00268332124282356000
2003,1,22.89834858,-0.07129935483573650000,0.00792863256258536000
2003,2,21.21410212,0.00703405534525503000,0.00463746798879416000
2003,3,21.30971903,0.05514825787932300000,-0.00695385151480743000
