DATE,CUUR0000SEHA_Rate
4/1/2008,0.006751275
7/1/2008,0.009032713
10/1/2008,0.010020834
1/1/2009,0.006899031
4/1/2009,0.002875484
7/1/2009,-9.63778E-05
10/1/2009,-0.000287823
1/1/2010,0.000638748
4/1/2010,-0.000420207
7/1/2010,0.000779183
10/1/2010,0.004552399
1/1/2011,0.006136464
4/1/2011,0.002219637
7/1/2011,0.005956107
10/1/2011,0.009834374
1/1/2012,0.006838211
4/1/2012,0.003993714
7/1/2012,0.005973816
10/1/2012,0.010182753
1/1/2013,0.007095941
4/1/2013,0.004613101
7/1/2013,0.007099899
10/1/2013,0.008970047
1/1/2014,0.007619906
4/1/2014,0.006835374
7/1/2014,0.008691579
10/1/2014,0.010451176
1/1/2015,0.008463277
4/1/2015,0.006826893
7/1/2015,0.010071828
10/1/2015,0.011016131
1/1/2016,0.008399984
4/1/2016,0.007791454
7/1/2016,0.009746778
10/1/2016,0.01228769
1/1/2017,0.00864796
4/1/2017,0.007258812
7/1/2017,0.009519458
10/1/2017,0.010943831
1/1/2018,0.008392719
4/1/2018,0.007001442
7/1/2018,0.009410322
10/1/2018,0.010271077
1/1/2019,0.008286915
4/1/2019,0.009390879
7/1/2019,0.009526035
10/1/2019,0.009228747
1/1/2020,0.008609256
4/1/2020,0.006181346
7/1/2020,0.004953827
10/1/2020,0.004677291
1/1/2021,0.003495755
4/1/2021,0.005212814
7/1/2021,0.007989504
10/1/2021,0.013259528
1/1/2022,0.014198537
4/1/2022,0.016270619
