DATE,Rate
1/1/1931,-0.094726563
4/1/1931,0.00704005
7/1/1931,-0.082440101
10/1/1931,-0.269888346
1/1/1932,-0.17097561
4/1/1932,-0.221987952
7/1/1932,-0.177149682
10/1/1932,0.448602794
1/1/1933,0.013342697
4/1/1933,-0.011283498
7/1/1933,0.646952104
10/1/1933,-0.139581478
1/1/1934,0.115183246
4/1/1934,0.046489564
7/1/1934,-0.122481685
10/1/1934,-0.043030623
1/1/1935,0.047206704
4/1/1935,-0.011609071
7/1/1935,0.190265487
10/1/1935,0.129812207
1/1/1936,0.16442953
4/1/1936,0.090843023
7/1/1936,0.055275538
10/1/1936,0.095919023
1/1/1937,0.052249852
4/1/1937,-0.021887436
7/1/1937,-0.013815403
10/1/1937,-0.247133374
1/1/1938,-0.062907166
4/1/1938,-0.108532272
7/1/1938,0.255561173
10/1/1938,0.079452614
1/1/1939,-0.033116386
4/1/1939,-0.1232
7/1/1939,0.093721145
10/1/1939,0.114005124
1/1/1940,-0.034496124
4/1/1940,0.010569106
7/1/1940,-0.172371638
10/1/1940,0.090840841
1/1/1941,-0.001164958
4/1/1941,-0.07014218
7/1/1941,0.082209544
10/1/1941,-0.024853801
1/1/1942,-0.073753815
4/1/1942,-0.103023516
7/1/1942,0.122767857
10/1/1942,0.096354167
1/1/1943,0.098444206
4/1/1943,0.148414272
7/1/1943,0.092438811
10/1/1943,-0.025910931
1/1/1944,0.010311448
4/1/1944,0.016455696
7/1/1944,0.106602187
10/1/1944,0.005384615
1/1/1945,0.057319907
4/1/1945,0.070607858
7/1/1945,0.046393557
10/1/1945,0.127537212
1/1/1946,0.102272727
4/1/1946,0.044950055
7/1/1946,-0.02357985
10/1/1946,-0.173130194
1/1/1947,0.043220339
4/1/1947,-0.028106509
7/1/1947,0.093321918
10/1/1947,-0.007450856
1/1/1948,-0.026537217
4/1/1948,0.052764666
7/1/1948,0.080194805
10/1/1948,-0.00045676
1/1/1949,-0.036596665
4/1/1949,-0.014485677
7/1/1949,0.008562794
10/1/1949,0.094681572
1/1/1950,0.080396476
4/1/1950,0.074348341
7/1/1950,-0.008408072
10/1/1950,0.163118527
1/1/1951,0.086185204
4/1/1951,0.051508722
7/1/1951,0.018134124
10/1/1951,0.082079343
1/1/1952,0.050620719
4/1/1952,-0.003823894
7/1/1952,0.071714406
10/1/1952,-0.018341308
1/1/1953,0.093672712
4/1/1953,-0.042685256
7/1/1953,-0.002630514
10/1/1953,0.001543845
1/1/1954,0.077388402
4/1/1954,0.09956795
7/1/1954,0.10369164
10/1/1954,0.080401593
1/1/1955,0.118318832
4/1/1955,0.071629213
7/1/1955,0.141088453
10/1/1955,-0.004040759
1/1/1956,0.05835906
4/1/1956,0.098244621
7/1/1956,0.024609781
10/1/1956,-0.042794178
1/1/1957,-0.008109862
4/1/1957,0.001155624
7/1/1957,0.086459489
10/1/1957,-0.140744176
1/1/1958,0.007880698
4/1/1958,0.04036965
7/1/1958,0.09618564
10/1/1958,0.117551109
1/1/1959,0.100294406
4/1/1959,0.034609853
7/1/1959,0.054115587
10/1/1959,-0.038249079
1/1/1960,0.02627193
4/1/1960,-0.031276926
7/1/1960,0.010721335
10/1/1960,-0.029056232
1/1/1961,0.120556486
4/1/1961,0.110432016
7/1/1961,0.001481088
10/1/1961,0.046683985
1/1/1962,0.023198529
4/1/1962,-0.007347618
7/1/1962,-0.155216752
10/1/1962,-0.004827102
1/1/1963,0.167794196
4/1/1963,0.065209038
7/1/1963,0.012507272
10/1/1963,0.065404662
1/1/1964,0.054703546
4/1/1964,0.053335513
7/1/1964,0.048536402
10/1/1964,0.026976688
1/1/1965,0.022392457
4/1/1965,0.028942174
7/1/1965,-0.027310447
10/1/1965,0.084206807
1/1/1966,0.028613634
4/1/1966,-0.010930133
7/1/1966,-0.055103712
10/1/1966,-0.093080149
1/1/1967,0.104239595
4/1/1967,0.085671995
7/1/1967,0.0305354
10/1/1967,0.036340178
1/1/1968,0.00117604
4/1/1968,0.014414983
7/1/1968,0.056234974
10/1/1968,0.042472582
1/1/1969,-0.009922929
4/1/1969,0.000759804
7/1/1969,-0.057305035
10/1/1969,0.016867279
1/1/1970,-0.046273032
4/1/1970,-0.039502824
7/1/1970,-0.109773124
10/1/1970,0.124702853
1/1/1971,0.117369918
4/1/1971,0.110038507
7/1/1971,-0.03131068
10/1/1971,-0.009494949
1/1/1972,0.069662864
4/1/1972,0.060672798
7/1/1972,-0.007651654
10/1/1972,0.029617537
1/1/1973,0.0875
4/1/1973,-0.06167652
7/1/1973,-0.033454216
10/1/1973,0.045628544
1/1/1974,-0.116939891
4/1/1974,-0.028977214
7/1/1974,-0.132678996
10/1/1974,-0.113132014
1/1/1975,0.05796371
4/1/1975,0.180264609
7/1/1975,0.102661709
10/1/1975,-0.032381879
1/1/1976,0.103985548
4/1/1976,0.06160954
7/1/1976,0.03186948
10/1/1976,-0.012667946
1/1/1977,0.028704612
4/1/1977,-0.035525048
7/1/1977,0.02274104
10/1/1977,-0.053093812
1/1/1978,-0.024669298
4/1/1978,0.04066482
7/1/1978,0.061670801
10/1/1978,0.048050211
1/1/1979,0.003851889
4/1/1979,0.037132685
7/1/1979,0.019098923
10/1/1979,0.031061344
1/1/1980,0.074880383
4/1/1980,-0.058047791
7/1/1980,0.177621359
10/1/1980,0.099540902
1/1/1981,0.033410138
4/1/1981,0.022406015
7/1/1981,-0.027473958
10/1/1981,-0.05933385
1/1/1982,-0.00696995
4/1/1982,0.00586104
7/1/1982,-0.04466896
10/1/1982,0.228656307
1/1/1983,0.10037679
4/1/1983,0.104851005
7/1/1983,0.070006341
10/1/1983,0.014715569
1/1/1984,0.002862254
4/1/1984,-0.04203726
7/1/1984,-0.029616117
10/1/1984,0.102961615
1/1/1985,0.052745752
4/1/1985,0.063650932
7/1/1985,0.076647287
10/1/1985,-0.022519481
1/1/1986,0.128813104
4/1/1986,0.152797791
7/1/1986,0.017794118
10/1/1986,-0.003070358
1/1/1987,0.12289385
4/1/1987,0.101701323
7/1/1987,0.079303491
10/1/1987,-0.089398581
1/1/1988,-0.09809065
4/1/1988,0.057325349
7/1/1988,0.033615765
10/1/1988,0.039715719
1/1/1989,0.037680245
4/1/1989,0.068053609
7/1/1989,0.106533245
10/1/1989,0.054835794
1/1/1990,-0.013370754
4/1/1990,0.003147337
7/1/1990,0.07328198
10/1/1990,-0.138675944
1/1/1991,0.069671464
4/1/1991,0.175804172
7/1/1991,0.009475084
10/1/1991,0.02554375
1/1/1992,0.083385029
4/1/1992,-0.013434916
7/1/1992,0.026324832
10/1/1992,0.001319118
1/1/1993,0.062624242
4/1/1993,0.025210808
7/1/1993,0.016565857
10/1/1993,0.04414362
1/1/1994,0.026395775
4/1/1994,-0.047722996
7/1/1994,0.016518346
10/1/1994,0.034697607
1/1/1995,0.010208922
4/1/1995,0.098807093
7/1/1995,0.103994802
10/1/1995,0.05196279
1/1/1996,0.059995368
4/1/1996,0.059063833
7/1/1996,0.000772595
10/1/1996,0.094826649
1/1/1997,0.097649902
4/1/1997,0.001934823
7/1/1997,0.216204364
10/1/1997,0.032116958
1/1/1998,0.016913558
4/1/1998,0.158588171
7/1/1998,0.043503866
10/1/1998,-0.103812534
1/1/1999,0.213439616
4/1/1999,0.072152999
7/1/1999,0.037727756
10/1/1999,-0.05562314
1/1/2000,0.099812694
4/1/2000,0.028026992
7/1/2000,0.010801582
10/1/2000,-0.053482688
1/1/2001,-0.036303897
4/1/2001,-0.106182101
7/1/2001,0.015579826
10/1/2001,-0.102889286
1/1/2002,0.06274905
4/1/2002,-0.021331597
7/1/2002,-0.183779554
10/1/2002,-0.049787514
1/1/2003,0.052935188
4/1/2003,-0.001964637
7/1/2003,0.119757199
10/1/2003,0.050783848
1/1/2004,0.094528896
4/1/2004,0.004761505
7/1/2004,-0.020128203
10/1/2004,0.014624497
1/1/2005,0.06187288
4/1/2005,-0.010043084
7/1/2005,0.054178869
10/1/2005,-0.020331522
1/1/2006,0.077496309
4/1/2006,0.022827336
7/1/2006,-0.027657679
10/1/2006,0.086673967
1/1/2007,0.049179246
4/1/2007,0.032236546
7/1/2007,0.043507966
10/1/2007,0.016937812
1/1/2008,-0.099970123
4/1/2008,-0.000855841
7/1/2008,-0.077309244
10/1/2008,-0.223771802
1/1/2009,-0.099316164
4/1/2009,-0.012425195
7/1/2009,0.110743972
10/1/2009,0.147132996
1/1/2010,0.057583875
4/1/2010,0.070513448
7/1/2010,-0.093529716
10/1/2010,0.090201889
1/1/2011,0.099677359
4/1/2011,0.042742589
7/1/2011,-0.000123919
10/1/2011,-0.084191701
1/1/2012,0.082872219
4/1/2012,0.071327792
7/1/2012,-0.014039656
10/1/2012,0.062932974
1/1/2013,0.035098274
4/1/2013,0.066485409
7/1/2013,0.067735723
10/1/2013,0.035956564
1/1/2014,0.064638407
4/1/2014,0.028014498
7/1/2014,0.063444745
10/1/2014,-0.013241853
1/1/2015,0.052075859
4/1/2015,0.03794535
7/1/2015,0.00466857
10/1/2015,-0.027997173
1/1/2016,-0.047077257
4/1/2016,0.087541697
7/1/2016,0.040723137
10/1/2016,0.002528038
1/1/2017,0.067000075
4/1/2017,0.042131844
7/1/2017,0.045214491
10/1/2017,0.046862394
1/1/2018,0.095863316
4/1/2018,-0.044299771
7/1/2018,0.057607881
10/1/2018,0.001797834
1/1/2019,-0.059068341
4/1/2019,0.118984885
7/1/2019,0.036650251
10/1/2019,-0.001348415
1/1/2020,0.105851703
4/1/2020,-0.152924623
7/1/2020,0.166724596
10/1/2020,0.070377726
1/1/2021,0.11395121
4/1/2021,0.095382537
7/1/2021,0.057257231
10/1/2021,0.025645609
1/1/2022,0.028771205
4/1/2022,-0.036480994
